Metric,Baseline,Topk,Model
0.11090978235006332,average,0.2,bi_gru,
0.10823177546262741,average,0.2,gru,
0.10998005419969559,average,0.2,none,
0.10954255610704422,average,0.2,gru,
0.11122531443834305,average,0.2,bi_gru,
0.10798171162605286,average,0.2,gru,
0.10899551212787628,average,0.2,gru,
0.11203505843877792,average,0.2,bi_gru,
0.10867810249328613,average,0.2,gru,
0.1076260581612587,average,0.2,gru,
