-0.08726727217435837,zeros,0.2,gru,
-0.0765332579612732,zeros,0.2,gru,
-0.08224090933799744,zeros,0.2,none,
-0.08897260576486588,zeros,0.2,gru,
-0.08769267797470093,zeros,0.2,gru,
-0.08224090933799744,zeros,0.2,none,
-0.08224090933799744,zeros,0.2,none,
-0.08224090933799744,zeros,0.2,none,
-0.08069359511137009,zeros,0.2,gru,
-0.08160685002803802,zeros,0.2,gru,
-0.01064929086714983,average,0.2,gru,
-0.011512501165270805,average,0.2,none,
-0.010666067712008953,average,0.2,gru,
-0.011213023215532303,average,0.2,gru,
-0.011792066507041454,average,0.2,gru,
-0.01063512172549963,average,0.2,gru,
-0.011512501165270805,average,0.2,none,
-0.011512501165270805,average,0.2,none,
-0.011512501165270805,average,0.2,none,
-0.012846092693507671,average,0.2,gru,
